,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
200,0.0,0.0,82263,0,0,-2,2,0,2,0.0,0.0,0,Marcos,0.0,129,False,Left by mutual consent,2022-09-02T10:46:49.198371Z,53,82263.jpg,0.0,Alonso,0.7,False,,u,6,8,0,8779,0,252668,0,0.0,0.0,Alonso,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,766,262,765,262,763,262,767,262,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,134,15,743,256,768,262,235,81,0.0,0.0
201,0.0,0.0,88894,0,0,-1,1,0,3,0.0,0.0,0,Ross,0.0,131,False,Left by mutual consent,2022-09-02T11:08:19.103069Z,49,88894.jpg,0.0,Barkley,0.0,False,,u,6,8,0,1910,0,6986,0,0.0,0.0,Barkley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,755,325,754,326,747,323,756,325,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,226,127,709,302,758,327,601,238,0.0,0.0
202,100.0,50.0,91651,0,0,-1,1,0,3,0.2,0.0,1,Mateo,0.5,132,False,,2023-05-13T17:30:09.260005Z,49,91651.jpg,2.0,Kovacic,0.3,False,,a,6,8,53,78298,0,134485,0,0.1,10.8,Kovacic,1699,1,2,4,25,0,0,0,8,0,0,2,289,295.8,365.8,114.0,77.9,17,1.79,2.04,3.83,24.00,232,100,100,74,258,136,190,102,,,,,,,0.09,0.0,0.11,0.2,1.27,1.32,228,129,324,156,327,128,324,110,0.9,0.21
203,100.0,100.0,109745,0,0,0,0,2,1,1.3,1.0,3,Kepa,1.5,133,False,,2022-10-29T17:30:06.932408Z,45,109745.jpg,4.1,Arrizabalaga,6.4,False,,a,6,8,118,1984646,0,1341981,0,0.3,26.2,Arrizabalaga,2565,0,0,9,33,0,0,0,1,0,91,15,575,733.4,0.1,0.0,73.3,29,0.00,0.00,0.00,38.34,38,11,515,12,655,72,208,11,,,,,,,0.0,3.19,0.0,0.0,1.35,1.16,355,18,205,19,45,10,61,10,1.02,0.32
204,100.0,25.0,116594,0,0,-2,2,0,3,0.2,-0.1,0,N'Golo,0.0,134,False,,2023-05-13T17:30:09.281498Z,48,116594.jpg,2.6,Kanté,1.1,False,,a,6,8,18,101591,0,409065,0,0.0,3.8,Kanté,517,0,1,2,7,0,0,0,1,0,0,1,120,107.0,186.9,58.0,35.2,6,0.32,0.82,1.13,5.23,379,159,189,118,339,169,343,152,,,,,,,0.06,0.0,0.14,0.2,0.91,1.22,269,160,701,296,211,81,186,63,1.04,0.35
205,100.0,100.0,124183,0,0,-5,5,0,3,1.5,0.7,0,Hakim,1.2,135,False,,2022-12-23T18:30:08.157184Z,55,124183.jpg,1.8,Ziyech,0.4,False,,a,6,8,33,68588,0,103056,0,0.2,6.0,Ziyech,649,0,3,2,7,0,0,0,1,0,0,0,129,155.4,230.9,113.0,49.0,6,0.65,1.51,2.16,8.80,340,139,157,104,265,139,288,131,3.0,,,,4.0,,0.09,0.0,0.21,0.3,1.22,0.97,107,56,233,116,368,156,291,97,0.83,0.28
206,100.0,100.0,126187,0,0,0,0,0,3,1.1,1.5,1,Ruben,2.0,136,False,,2022-12-20T01:00:07.138371Z,50,126187.jpg,1.8,Loftus-Cheek,0.1,False,,a,6,8,46,35772,0,40719,0,0.4,9.2,Loftus-Cheek,1530,0,1,5,23,1,0,0,1,0,0,1,228,216.6,260.4,175.0,65.4,19,0.85,1.75,2.60,27.57,297,123,143,98,201,120,234,112,,,,,,,0.05,0.0,0.1,0.15,1.62,1.35,189,107,159,72,363,153,425,153,1.12,0.29
207,0.0,0.0,165153,0,0,-1,1,0,4,0.0,0.0,0,Timo,0.0,137,False,Transferred to RB Leipzig,2022-08-10T10:27:43.622232Z,79,165153.jpg,0.0,Werner,0.2,False,,u,6,8,0,2202,0,53548,0,0.0,0.0,Werner,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,778,93,778,93,778,93,778,93,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,19,11,773,90,778,93,384,58,0.0,0.0
208,0.0,0.0,167767,0,0,-1,1,0,2,0.0,0.0,0,Robert Kenedy,0.0,138,False,Transferred to Real Valladolid,2022-09-02T10:47:42.073387Z,39,167767.jpg,0.0,Nunes do Nascimento,0.2,False,,u,6,8,0,27068,0,53915,0,0.0,0.0,Kenedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,558,195,540,193,500,182,562,194,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,738,240,401,130,570,195,361,135,0.0,0.0
209,100.0,25.0,172850,0,0,-4,4,1,2,0.0,-0.1,0,Ben,0.0,139,False,,2023-05-06T17:00:08.147359Z,56,172850.jpg,3.0,Chilwell,3.1,False,,a,6,8,70,1795089,0,1919463,0,0.0,12.5,Chilwell,1402,2,3,4,19,0,0,0,3,0,0,4,302,283.4,382.6,178.0,84.2,15,1.57,2.49,4.06,18.25,248,94,94,15,197,33,172,40,1.0,,,,,,0.1,0.0,0.16,0.26,1.17,1.22,93,11,761,257,160,51,110,38,0.96,0.26
210,100.0,100.0,176413,0,0,-4,4,0,3,-0.1,0.3,1,Christian,0.8,140,False,,2023-03-31T17:30:08.578843Z,56,176413.jpg,1.6,Pulisic,0.4,False,,a,6,8,39,109347,0,160783,0,0.1,7.0,Pulisic,805,1,1,3,11,0,0,0,1,0,0,0,102,120.4,166.8,227.0,51.1,8,1.67,0.38,2.05,14.13,367,151,213,131,164,98,280,125,,,,,,,0.19,0.0,0.04,0.23,1.58,1.23,94,49,278,136,401,173,281,94,0.89,0.34
211,100.0,100.0,180736,0,0,-6,6,0,2,0.9,0.7,1,Trevoh,1.2,141,False,,2022-08-31T08:30:06.535126Z,44,180736.jpg,2.0,Chalobah,0.6,False,,a,6,8,49,175599,0,186691,0,0.3,11.1,Chalobah,1601,0,0,5,24,1,0,0,4,0,0,1,318,294.6,94.0,112.0,50.3,18,0.82,0.32,1.14,30.99,235,88,305,93,266,74,283,97,,,,,,,0.05,0.0,0.02,0.07,1.74,1.35,496,104,232,68,317,118,247,87,1.01,0.28
212,100.0,50.0,184341,0,0,-8,8,2,3,-0.2,-0.2,0,Mason,0.0,142,False,,2023-04-25T13:30:08.341862Z,72,184341.jpg,3.4,Mount,3.4,False,,a,6,8,82,2177297,0,2792751,0,0.0,11.4,Mount,1644,3,4,8,21,0,0,0,4,0,0,8,277,331.4,463.1,376.0,117.2,20,1.97,2.81,4.78,23.53,210,87,68,57,101,63,105,70,,,3.0,,3.0,,0.11,0.0,0.15,0.26,1.29,1.15,34,18,772,338,119,51,97,31,1.09,0.44
213,0.0,0.0,204727,0,0,0,0,0,2,0.0,0.0,0,Malang,0.0,143,False,Season-long loan to Monaco,2022-08-12T14:18:58.649483Z,50,204727.jpg,0.0,Sarr,0.0,False,,u,6,8,0,289,0,11884,0,0.0,0.0,Sarr,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,763,261,762,261,757,261,764,261,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,202,27,728,254,765,261,577,212,0.0,0.0
214,0.0,0.0,209046,0,0,-2,2,0,3,0.0,0.0,0,Callum,0.0,144,False,Season-long loan to Bayer Leverkusen,2022-08-31T07:22:31.364700Z,53,209046.jpg,0.0,Hudson-Odoi,0.0,False,,u,6,8,0,1884,0,10408,0,0.0,0.0,Hudson-Odoi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,769,335,768,335,766,335,770,335,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,148,80,749,329,770,335,579,230,0.0,0.0
215,100.0,100.0,219847,0,0,-6,6,1,4,0.9,0.7,1,Kai,1.2,145,False,,2023-04-25T13:30:08.364738Z,74,219847.jpg,2.9,Havertz,3.2,False,,a,6,8,102,1575452,0,1755945,0,0.2,13.8,Havertz,2565,7,1,9,31,0,0,0,5,0,0,13,301,476.4,536.6,1014.0,202.5,30,11.58,2.75,14.33,38.25,128,13,55,3,15,10,28,7,,,,,1.0,,0.41,0.0,0.1,0.51,1.34,1.09,28,13,235,28,178,24,104,16,1.05,0.32
216,0.0,0.0,225796,0,0,-2,2,0,2,0.0,0.0,0,Reece,0.0,146,False,Hamstring injury - Expected back 01 Jul,2023-04-25T13:30:08.392244Z,58,225796.jpg,2.8,James,10.7,False,,i,6,8,44,4234493,0,7263967,0,0.0,7.6,James,1242,1,2,2,17,0,0,0,4,0,0,5,286,292.2,358.2,153.0,80.4,14,1.06,2.93,3.99,14.11,236,89,101,18,216,41,183,47,2.0,,2.0,,2.0,,0.08,0.0,0.21,0.29,1.02,1.23,79,8,763,258,189,66,43,15,1.01,0.14
217,100.0,100.0,228286,0,0,-2,2,1,1,-0.3,-0.3,0,Edouard,0.2,147,False,,2022-12-30T15:00:07.563757Z,48,228286.jpg,2.4,Mendy,5.8,False,,a,6,8,24,698390,0,2234052,0,0.0,5.0,Mendy,855,0,0,1,14,0,0,0,1,0,25,0,132,200.4,0.0,0.0,20.2,9,0.00,0.00,0.00,14.24,312,26,751,81,744,76,408,26,,,,,,,0.0,2.63,0.0,0.0,1.5,1.47,285,12,371,27,244,32,68,13,0.95,0.11
218,100.0,100.0,232787,0,0,-4,4,0,3,2.5,1.3,2,Conor,1.8,148,False,,2022-10-19T22:30:07.006380Z,56,232787.jpg,1.9,Gallagher,0.7,False,,a,6,8,66,117548,0,217511,0,0.3,11.8,Gallagher,1608,3,1,4,23,0,0,0,9,1,0,7,279,386.2,351.5,329.0,106.5,18,2.55,1.73,4.28,30.95,182,74,105,78,114,72,119,77,5.0,,,,,,0.14,0.0,0.1,0.24,1.73,1.29,99,52,174,84,346,144,227,74,1.01,0.22
219,0.0,0.0,440323,0,0,-3,3,0,4,0.0,0.0,0,Armando,0.0,150,False,Knee injury - Expected back 01 Jul,2022-12-20T01:00:07.171085Z,52,440323.jpg,1.8,Broja,0.3,False,,i,6,8,21,75379,0,183899,0,0.0,4.0,Broja,285,1,1,1,5,0,0,0,0,0,0,0,56,64.6,18.2,113.0,19.7,2,0.84,0.06,0.90,4.49,428,50,425,59,264,53,409,53,,,,,,,0.27,0.0,0.02,0.29,1.42,1.58,165,52,742,80,365,46,316,51,0.63,0.32
220,0.0,0.0,199598,0,0,-1,1,0,2,0.0,0.0,0,Ethan,0.0,151,False,Season-long loan to Spezia,2022-09-02T10:48:44.805594Z,44,199598.jpg,0.0,Ampadu,0.0,False,,u,6,8,0,1467,0,8160,0,0.0,0.0,Ampadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,655,249,651,249,627,246,660,249,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,501,108,563,226,667,249,563,206,0.0,0.0
221,100.0,100.0,444463,0,0,-2,2,1,2,0.1,0.3,1,Wesley,0.8,272,False,,2023-05-06T21:00:08.764822Z,43,444463.jpg,2.2,Fofana,1.0,False,,a,6,8,37,405290,0,490318,0,0.2,8.6,W.Fofana,1362,1,0,2,24,0,0,0,4,0,0,4,244,294.6,59.6,86.0,44.4,14,0.74,0.29,1.03,22.96,234,87,359,123,294,91,310,107,,,,,,,0.05,0.0,0.02,0.07,1.52,1.59,578,150,273,79,271,98,194,68,0.93,0.13
222,100.0,50.0,103955,0,0,-3,3,2,3,2.0,2.5,5,Raheem,5.5,304,False,,2023-05-25T22:00:12.474077Z,97,103955.jpg,3.6,Sterling,3.4,False,,a,6,8,101,1432352,0,1817823,0,0.6,10.4,Sterling,1886,6,4,5,27,0,0,0,4,0,0,9,274,399.6,495.4,647.0,153.9,23,6.21,3.22,9.43,27.83,176,72,61,51,39,24,67,47,,,,,,,0.3,0.0,0.15,0.45,1.33,1.29,7,4,22,10,98,43,96,30,1.1,0.24
223,100.0,100.0,86129,0,0,0,0,0,2,-0.3,-0.3,0,Kalidou,0.2,520,False,,2023-04-12T22:30:09.908012Z,55,86129.jpg,3.2,Koulibaly,5.4,False,,a,6,8,74,1136459,0,1787611,0,0.0,13.5,Koulibaly,1798,2,1,6,22,0,0,0,5,1,0,8,408,497.4,104.1,141.0,74.5,20,0.88,0.43,1.31,22.43,118,40,288,86,231,52,204,57,,,,,,,0.04,0.0,0.02,0.06,1.12,1.1,105,12,374,116,137,40,72,25,1.0,0.3
224,0.0,0.0,491785,0,0,0,0,0,3,0.0,0.0,0,Harvey,0.0,606,False,Season-long loan to Hull City,2022-09-02T11:12:46.298693Z,45,491785.jpg,0.0,Vale,0.0,False,,u,6,8,0,241,0,274,0,0.0,0.0,Vale,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,716,294,714,298,700,290,719,296,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,427,242,644,250,726,303,757,322,0.0,0.0
225,100.0,100.0,212701,0,0,-1,1,0,3,-0.5,-0.5,0,Denis,0.0,616,False,,2023-01-12T23:30:07.854486Z,49,212701.jpg,1.9,Zakaria,0.0,False,,a,6,8,13,9726,0,9099,0,0.0,2.7,Zakaria,409,0,0,2,5,0,0,0,0,0,0,0,47,44.6,22.6,24.0,9.2,5,0.19,0.05,0.24,6.69,452,200,417,211,413,201,454,207,,,,,,,0.04,0.0,0.01,0.05,1.47,1.1,243,141,716,308,341,139,558,221,1.1,0.44
226,100.0,100.0,54694,0,0,-6,6,0,4,-0.3,-0.5,0,Pierre-Emerick,0.0,617,False,,2023-03-10T14:30:09.301028Z,84,54694.jpg,1.7,Aubameyang,0.7,False,,a,6,8,25,578472,0,557360,0,0.0,3.0,Aubameyang,546,1,0,1,8,0,0,0,1,0,0,3,61,55.0,59.4,177.0,28.5,5,1.53,0.18,1.71,8.66,437,53,360,51,199,47,379,51,,,,,,,0.25,0.0,0.03,0.28,1.43,1.32,12,7,774,91,385,49,232,41,0.82,0.16
227,100.0,25.0,122074,0,0,0,0,0,1,-0.1,-0.1,0,Marcus,0.0,635,False,,2023-04-27T00:00:09.265260Z,40,122074.jpg,0.0,Bettinelli,0.0,False,,a,6,8,0,4627,0,3770,0,0.0,0.0,Bettinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,579,61,565,44,527,35,583,61,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,655,40,423,52,591,61,600,64,0.0,0.0
228,,,503301,0,0,-3,3,0,3,-0.5,-0.5,0,Omari,0.0,653,False,,,42,503301.jpg,1.0,Hutchinson,0.0,False,,a,6,8,1,1899,0,1561,0,0.0,0.2,Hutchinson,22,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.8,4.0,0.7,0,0.00,0.02,0.02,0.63,528,241,474,229,461,224,522,237,,,,,,,0.0,0.0,0.08,0.08,2.58,0.0,626,332,524,192,482,213,691,278,0.0,0.0
229,,,487838,0,0,-2,2,0,3,1.3,2.3,2,Lewis,2.8,661,False,,,43,487838.jpg,2.1,Hall,0.0,False,,a,6,8,19,7776,0,4242,0,0.7,4.4,Hall,653,0,0,1,11,0,0,0,1,0,0,3,118,134.4,225.8,127.0,48.8,8,0.83,1.46,2.29,13.29,362,148,163,107,241,132,291,132,,,,,,,0.11,0.0,0.2,0.31,1.83,1.52,580,311,113,49,289,114,556,220,1.1,0.14
230,0.0,0.0,461188,0,0,0,0,0,2,0.0,0.0,0,Bashir,0.0,673,False,Season-long loan to SC Paderborn,2023-01-29T17:39:15.472023Z,45,461188.jpg,0.0,Humphreys,0.0,False,,u,6,8,0,345,0,429,0,0.0,0.0,Humphreys,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,701,257,700,257,681,256,705,257,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,402,83,625,241,711,257,737,258,0.0,0.0
231,,,520295,0,0,0,0,0,4,-0.3,-0.3,0,David Datro,0.2,684,False,,,50,520295.jpg,1.0,Fofana,0.1,False,,a,6,8,3,22442,0,17862,0,0.0,0.6,D.D.Fofana,68,0,0,0,1,0,0,0,0,0,0,0,8,15.2,34.6,30.0,8.0,1,0.57,0.04,0.61,1.72,479,59,397,55,399,62,461,59,,,,,,,0.75,0.0,0.05,0.8,2.28,1.32,218,59,373,52,528,67,465,68,1.32,0.0
232,100.0,25.0,242880,0,0,0,0,0,2,0.3,-0.1,0,Benoît,0.2,689,False,,2023-05-19T14:00:10.405679Z,50,242880.jpg,3.6,Badiashile,0.4,False,,a,6,8,40,203481,0,165341,0,0.0,8.0,Badiashile,904,1,0,4,9,0,0,0,2,0,0,2,209,219.8,49.1,81.0,35.1,10,1.26,0.20,1.46,12.31,294,117,373,128,306,97,345,122,,,,,,,0.13,0.0,0.02,0.15,1.23,0.9,207,29,372,115,91,22,290,106,1.0,0.4
233,100.0,100.0,428399,0,0,-4,4,0,4,2.1,1.3,1,João,1.8,690,False,,2023-01-12T23:30:07.889355Z,71,428399.jpg,2.8,Félix Sequeira,1.7,False,,a,6,8,44,910337,0,752888,0,0.3,6.2,João Félix,936,4,0,2,16,0,0,0,1,1,0,7,126,203.6,136.1,303.0,63.1,11,4.62,0.99,5.60,14.18,308,35,245,37,123,38,239,37,4.0,,1.0,,,,0.44,0.0,0.1,0.54,1.36,1.54,40,18,175,22,193,26,149,26,1.06,0.19
234,,,465920,0,0,-6,6,0,3,0.5,0.3,0,Mykhailo,0.8,699,False,,,64,465920.jpg,1.7,Mudryk,0.8,False,,a,6,8,25,571287,0,497936,0,0.1,3.9,Mudryk,650,0,2,0,10,0,0,0,1,0,0,0,73,100.8,146.4,140.0,38.2,7,1.82,1.26,3.08,10.88,382,160,231,140,232,130,335,150,,,,,,,0.25,0.0,0.17,0.42,1.51,1.38,57,29,279,137,384,165,211,71,0.97,0.0
235,0.0,0.0,532605,0,0,0,0,0,3,0.0,0.0,0,Andrey,0.0,702,False,Season-long loan to Vasco de Gama,2023-03-07T13:27:32.327905Z,45,532605.jpg,0.0,Nascimento dos Santos,0.0,False,,u,6,8,0,445,0,405,0,0.0,0.0,Andrey Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,738,311,734,313,724,308,739,311,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,458,267,667,268,743,315,755,320,0.0,0.0
236,,,248857,0,0,-1,1,0,3,2.5,1.5,3,Noni,2.0,708,False,,,54,248857.jpg,2.2,Madueke,0.1,False,,a,6,8,26,35271,0,20008,0,0.4,4.8,Madueke,639,1,0,0,13,0,0,0,0,0,0,2,105,153.8,170.8,224.0,55.0,7,0.90,0.72,1.62,13.11,342,140,211,130,167,101,268,121,,,,,,,0.13,0.0,0.1,0.23,1.85,1.83,130,68,165,77,281,110,398,141,0.99,0.0
237,100.0,100.0,448047,0,0,0,0,0,3,1.1,1.0,2,Enzo,1.5,724,False,,2023-02-03T02:30:09.546920Z,50,448047.jpg,2.3,Fernández,0.8,False,,a,6,8,42,320254,0,240392,0,0.3,8.4,Enzo,1547,0,2,3,25,0,0,0,3,0,0,1,265,315.8,334.3,74.0,72.6,18,0.78,2.64,3.42,24.91,218,91,109,80,317,160,214,106,,,4.0,,,,0.05,0.0,0.15,0.2,1.45,1.45,212,119,206,104,263,99,209,70,1.05,0.17
238,,,447107,0,0,0,0,0,1,1.1,-0.5,0,Ethan,0.0,771,False,,,40,447107.jpg,0.0,Wady,0.0,False,,a,6,8,0,75,0,13,0,0.0,0.0,Wady,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,603,73,589,56,554,47,607,73,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,685,52,451,64,616,73,766,84,0.0,0.0
239,,,514280,0,0,0,0,0,2,0.9,-0.5,0,Alfie,0.0,775,False,,,40,514280.jpg,0.0,Gilchrist,0.0,False,,a,6,8,0,72,0,5,0,0.0,0.0,Gilchrist,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,624,230,611,228,577,222,628,229,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,709,219,474,171,637,231,767,262,0.0,0.0
240,100.0,100.0,437742,0,0,-2,2,0,3,0.0,0.0,0,Albert,0.0,18,False,,2023-03-11T21:30:08.347478Z,43,437742.jpg,1.5,Sambi Lokonga,0.2,False,,a,7,31,23,38990,0,53783,0,0.0,5.3,Sambi,728,0,0,2,8,0,0,0,2,0,0,0,129,98.4,57.2,20.0,17.6,8,0.17,0.18,0.35,8.12,387,163,362,187,422,207,418,187,,,,,,,0.02,0.0,0.02,0.04,1.0,0.99,577,309,544,197,409,176,356,124,0.99,0.25
241,100.0,100.0,40836,0,0,-1,1,1,1,0.0,0.0,0,Vicente,0.0,152,False,,2023-04-07T13:30:06.811754Z,44,40836.jpg,3.7,Guaita,1.4,False,,a,7,31,99,542689,0,551835,0,0.0,22.5,Guaita,2430,0,0,6,34,0,0,0,1,0,85,10,484,668.4,0.0,0.0,66.8,27,0.00,0.01,0.01,38.20,57,14,644,72,618,63,230,14,,,,,,,0.0,3.15,0.0,0.0,1.41,1.26,473,19,549,77,78,16,163,23,1.0,0.22
242,0.0,0.0,49413,0,0,-1,1,2,2,0.0,0.0,0,James,0.0,153,False,Calf injury - Expected back 01 Jul,2023-05-04T11:00:08.964262Z,39,49413.jpg,1.3,Tomkins,0.8,False,,i,7,31,8,175559,0,197479,0,0.0,2.1,Tomkins,335,1,0,0,10,0,0,0,1,1,0,1,50,90.0,1.1,54.0,14.6,3,0.81,0.00,0.81,9.99,397,153,483,176,345,121,430,152,,,,,,,0.22,0.0,0.0,0.22,2.68,2.69,731,236,394,126,441,155,210,76,0.81,0.0
243,100.0,100.0,50471,0,0,-2,2,0,3,0.2,0.7,1,James,0.7,154,False,,2023-05-04T11:00:08.985807Z,48,50471.jpg,1.0,McArthur,0.0,False,,a,7,31,4,1097,0,1986,0,0.1,0.8,McArthur,50,0,0,0,0,0,0,0,0,0,0,0,13,14.8,2.0,0.0,1.7,0,0.00,0.00,0.00,0.41,481,214,472,228,738,318,500,223,,,,,,,0.0,0.0,0.0,0.0,0.74,0.0,259,154,297,142,521,242,696,282,0.0,0.0
244,0.0,0.0,54861,0,0,0,0,0,4,0.0,0.0,0,Christian,0.0,155,False,Transferred to D.C. United,2022-08-10T10:33:52.348630Z,55,54861.jpg,0.0,Benteke,0.1,False,,u,7,31,0,3358,0,81273,0,0.0,0.0,Benteke,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,774,91,774,91,773,91,774,91,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,104,38,757,84,774,91,417,63,0.0,0.0
245,100.0,100.0,55494,0,0,-1,1,1,2,4.0,5.3,2,Joel,5.3,156,False,,2023-02-11T00:30:08.857316Z,44,55494.jpg,2.8,Ward,0.4,False,,a,7,31,78,98084,0,79513,0,1.2,17.7,Ward,2253,1,0,8,35,0,0,0,6,0,0,5,403,446.6,172.5,114.0,73.5,24,1.12,0.83,1.95,32.15,141,49,208,50,256,70,206,59,,,,,,,0.04,0.0,0.03,0.07,1.28,1.4,475,90,24,7,183,62,282,102,0.96,0.32
246,100.0,100.0,57328,0,0,0,0,0,2,0.0,0.0,0,Nathaniel,0.0,157,False,,2023-04-14T14:30:07.072449Z,45,57328.jpg,2.0,Clyne,0.1,False,,a,7,31,44,23422,0,32002,0,0.0,9.8,Clyne,1638,0,0,3,23,0,0,0,3,0,0,0,246,203.6,124.9,8.0,33.6,19,0.00,0.60,0.60,26.26,307,121,253,67,446,165,352,125,,,,,,,0.0,0.0,0.03,0.03,1.44,1.26,342,59,587,231,318,119,406,152,1.04,0.16
247,0.0,0.0,66975,0,0,-3,3,0,3,0.0,0.0,0,Luka,0.0,158,False,Knock - Unknown return date,2023-05-12T15:00:08.764253Z,42,66975.jpg,1.3,Milivojevic,0.3,False,,i,7,31,23,58191,0,95373,0,0.0,5.5,Milivojevic,500,0,0,2,7,0,0,0,2,0,0,0,80,69.2,43.6,17.0,12.7,5,0.34,0.20,0.54,7.80,421,181,376,194,428,209,437,197,4.0,,3.0,,2.0,,0.06,0.0,0.04,0.1,1.4,1.26,590,317,505,185,443,193,327,112,0.9,0.36
248,,,80146,0,0,-3,3,2,3,3.8,3.3,2,Jordan,3.3,159,False,,,52,80146.jpg,2.7,Ayew,0.4,False,,a,7,31,104,101259,0,96163,0,0.6,20.0,J.Ayew,2708,4,3,8,41,0,0,0,5,0,0,4,332,494.4,468.2,439.0,140.3,31,3.13,2.52,5.65,41.13,119,51,67,56,79,51,78,56,,,,,,,0.1,0.0,0.08,0.18,1.37,1.36,156,85,87,35,200,77,288,96,1.03,0.27
249,0.0,0.0,82403,0,0,2,-2,0,3,0.0,0.0,0,Wilfried,0.3,160,False,Hamstring injury - Expected back 01 Jul,2023-05-13T17:30:09.396934Z,72,82403.jpg,3.5,Zaha,6.7,False,,i,7,31,95,3982990,0,4227358,0,0.0,13.2,Zaha,2289,7,2,5,34,0,0,2,5,0,0,6,216,465.4,384.8,848.0,169.4,27,6.32,2.95,9.27,33.24,132,56,93,72,26,15,50,36,,,,,1.0,,0.25,0.0,0.12,0.37,1.31,1.34,32,16,361,174,110,48,57,19,1.06,0.2
250,0.0,0.0,86417,0,0,-3,3,0,3,0.0,0.0,0,Jeffrey,0.0,161,False,Personal Reasons - Expected back 01 Jul,2023-05-12T15:00:08.782884Z,47,86417.jpg,2.6,Schlupp,0.1,False,,i,7,31,89,26289,0,35429,0,0.0,18.9,Schlupp,2528,3,2,9,38,0,0,0,7,0,0,2,324,404.6,257.6,314.0,97.9,30,2.97,1.11,4.08,37.03,172,69,146,100,117,74,139,86,,,,,,,0.11,0.0,0.04,0.15,1.32,1.35,300,180,687,283,209,79,434,157,1.07,0.32
